,DiskUsage,TotalCpus,TotalMemory,TotalDisk,CpuCacheSize,TotalVirtualMemory,GLIDEIN_Job_Max_Time,TotalSlots,CpuIsBusy,SlotType,Failure,Site
83575,1443992,4,16000,763777364,36608,429090952,34800,5,1,0,1,London_QMUL
83576,2746443,1,4096,3291079100,512,592481708,34800,1,1,1,0,NIKHEF
83581,8741189,8,48000,1295793036,512,399191904,34800,9,0,0,0,IN_TIFR
83583,2489678,1,2500,709896588,25344,102047020,32400,1,1,1,0,Michigan
83584,267492,128,248000,371397560,512,356653668,7200,32,1,0,0,Purdue-Anvil
83587,10371583,128,248000,371398188,512,357436260,7200,32,1,0,0,Purdue-Anvil
83592,5560466,56,192000,149530212,39424,196111708,7200,15,0,0,0,TACC-Frontera
83595,472138,8,32768,6350240180,512,594696520,34800,5,1,0,1,Manchester
83599,2015734,128,248000,371393612,512,356428644,7200,32,0,0,0,Purdue-Anvil
83600,221762,56,192000,149546096,39424,196111704,7200,15,0,0,1,TACC-Frontera
83612,774066,4,8192,332878912,12288,53278776,34800,5,1,0,1,London
83616,459119,64,122000,669995324,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83619,96674,64,122000,669995308,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83621,199556,64,122000,669995508,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83623,164,8,32768,6344582552,512,593540116,34800,7,1,0,1,Manchester
83625,28499,64,122000,669995448,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83629,5000,64,122000,669995272,40960,131890088,7200,16,0,0,0,T3_US_NERSC
83635,29345,64,122000,669995724,40960,131890088,7200,11,0,0,0,T3_US_NERSC
83636,33069,128,248000,911382896,512,263689912,7200,32,1,0,0,SDSC-Expanse
83643,76685,128,248000,911383720,512,263689912,7200,32,1,0,0,SDSC-Expanse
83647,4270728,256,510000,1340088692,512,527683920,7200,65,1,0,0,NERSC-Perlmutter-CPU
83655,78610,128,248000,371398024,512,357231976,7200,31,0,0,0,Purdue-Anvil
83658,189510,8,16384,3183183640,512,329305804,34800,9,1,0,1,PIC
83660,1391155,8,20240,1297386580,512,527524696,34800,7,1,0,0,CERN
83661,1705616,4,16000,808458996,36608,428757188,34800,5,1,0,1,London_QMUL
83665,8946402,48,192000,149579844,33792,196453600,7200,13,0,0,0,TACC-Stampede2
